class,level,time,latitude,longitude
M,1.5,06 July 2012 at 08:23,207.07,-16.485
M,1.8,06 July 2012 at 10:29,207.112,-16.498
M,1.2,06 July 2012 at 13:30,207.144,-16.51
M,1.3,06 July 2012 at 18:55,207.014,-16.574
M,1.2,07 July 2012 at 03:15,206.949,-16.602
M,2.6,07 July 2012 at 11:03,207.195,-16.574
M,1.3,08 July 2012 at 05:46,207.183,-16.735
M,1.1,08 July 2012 at 09:53,207.048,-16.825
M,1.4,08 July 2012 at 12:10,206.983,-16.883
M,6.9,08 July 2012 at 16:32,206.687,-16.94
M,1.1,09 July 2012 at 23:07,88.863,-17.472
M,1.7,10 July 2012 at 05:14,88.906,-17.528
M,2.0,10 July 2012 at 06:27,88.89,-17.555
M,1.7,17 July 2012 at 17:15,82.947,-16.245
M,7.7,19 July 2012 at 05:58,79.296,-16.576
M,2.7,27 July 2012 at 17:26,202.141,-17.974
M,6.1,28 July 2012 at 20:56,198.61,-18.481
M,2.3,29 July 2012 at 06:22,196.781,-18.719
M,1.1,30 July 2012 at 15:48,192.914,-19.105
M,1.6,06 August 2012 at 04:38,31.894,-13.671
M,5.5,18 August 2012 at 01:02,232.828,19.913
M,1.8,18 August 2012 at 03:23,232.48,19.981
M,2.0,18 August 2012 at 16:07,232.924,19.834
M,1.3,18 August 2012 at 23:22,233.28,19.626
M,1.3,30 August 2012 at 12:11,77.836,-26.189
M,1.6,06 September 2012 at 04:13,128.227,2.81
M,1.4,08 September 2012 at 17:59,68.976,-14.404
M,1.2,09 September 2012 at 22:36,68.755,-14.541
M,1.3,30 September 2012 at 04:33,169.055,9.014
M,9.0,20 October 2012 at 18:14,114.985,-12.569
M,1.3,21 October 2012 at 20:03,112.774,-12.318
M,1.7,08 November 2012 at 02:23,239.396,12.132
M,2.0,12 November 2012 at 23:28,207.618,-23.971
M,6.0,13 November 2012 at 02:04,207.587,-23.922
M,2.5,13 November 2012 at 05:50,207.372,-23.85
M,2.8,13 November 2012 at 20:54,205.488,-23.923
M,1.1,14 November 2012 at 04:04,204.74,-24.02
M,1.6,20 November 2012 at 19:28,133.569,8.113
M,1.4,21 November 2012 at 06:56,133.455,7.972
M,3.5,21 November 2012 at 15:30,133.537,7.889
M,1.6,27 November 2012 at 15:57,133.668,8.218
M,2.2,28 November 2012 at 21:36,98.12,-13.468
M,1.7,05 January 2013 at 09:31,185.983,19.21
M,1.2,11 January 2013 at 09:11,148.743,7.703
M,1.7,13 January 2013 at 08:38,180.742,19.532
M,1.9,17 February 2013 at 15:50,36.789,12.431
M,1.6,21 March 2013 at 22:04,72.584,10.337
M,2.2,05 April 2013 at 17:48,74.377,8.779
M,6.5,11 April 2013 at 07:16,76.618,10.301
