class,level,time,latitude,longitude
C,1.0,05 March 2011 at 12:36,174.752,18.0449
C,1.1,05 March 2011 at 12:48,174.757,18.0623
C,1.1,25 February 2011 at 17:24,163.528,26.4715
C,1.3,26 February 2011 at 08:12,163.430,26.4056
C,4.2,27 February 2011 at 04:00,162.922,26.3077
C,1.7,28 February 2011 at 05:36,162.232,26.1508
C,1.1,28 February 2011 at 06:36,162.188,26.1426
C,2.0,28 February 2011 at 07:12,162.092,26.2132
C,2.4,28 February 2011 at 07:36,162.055,26.2256
C,1.5,28 February 2011 at 09:48,161.964,26.2741
C,1.2,28 February 2011 at 12:12,161.863,26.2754
C,1.0,28 February 2011 at 15:48,161.853,26.2317
C,1.7,28 February 2011 at 21:36,161.989,26.0940
C,6.0,01 March 2011 at 04:12,162.295,25.8224
C,2.9,01 March 2011 at 09:24,162.634,25.6404
C,1.1,01 March 2011 at 14:36,162.673,25.6291
C,1.0,01 March 2011 at 16:48,162.756,25.5893
C,1.3,01 March 2011 at 17:48,162.776,25.5788
C,1.0,01 March 2011 at 18:24,162.780,25.5709
C,1.4,02 March 2011 at 13:24,162.715,25.4704
C,5.4,03 March 2011 at 14:24,162.323,25.3784
C,1.2,03 March 2011 at 19:36,162.237,25.2708
C,2.7,03 March 2011 at 20:48,162.225,25.2443
C,2.0,03 March 2011 at 23:36,162.063,25.2853
C,2.1,04 March 2011 at 00:00,162.071,25.2761
C,1.4,05 March 2011 at 20:12,162.276,24.5854
C,1.8,06 March 2011 at 01:36,162.114,24.5802
C,1.8,06 March 2011 at 04:12,162.271,24.4872
C,1.7,06 March 2011 at 04:48,162.310,24.4484
C,4.6,06 March 2011 at 05:36,162.338,24.4404
C,2.8,06 March 2011 at 07:12,162.373,24.4259
C,2.4,06 March 2011 at 07:36,162.381,24.4257
C,3.1,06 March 2011 at 10:00,162.407,24.4139
C,8.6,06 March 2011 at 14:48,162.467,24.3321
C,4.7,06 March 2011 at 16:24,162.524,24.2916
C,6.9,06 March 2011 at 16:36,162.517,24.2928
C,2.3,06 March 2011 at 19:36,162.404,24.2962
C,4.9,07 March 2011 at 10:24,162.647,24.1721
C,5.6,09 March 2011 at 02:00,162.439,24.2587
C,2.2,05 March 2011 at 01:12,185.111,-19.2974
C,1.6,05 March 2011 at 02:48,185.097,-19.3822
C,1.2,05 March 2011 at 05:24,185.199,-19.5060
C,2.2,05 March 2011 at 09:12,185.405,-19.3137
C,1.4,05 March 2011 at 10:12,185.465,-19.2048
C,1.6,05 March 2011 at 11:48,185.601,-19.0465
C,1.2,05 March 2011 at 12:12,185.608,-19.0153
C,1.0,05 March 2011 at 12:24,185.577,-19.0326
C,1.3,05 March 2011 at 13:36,185.556,-18.9913
C,1.0,05 March 2011 at 14:24,185.646,-18.9151
C,2.1,06 March 2011 at 02:12,185.734,-18.7608
C,3.7,06 March 2011 at 03:48,186.023,-18.6573
